Category,Company,Contact,Email,Status,Quote / Price,Notes
"Transport","TranspOnyx","","","Locked In","€1,500 total","Locked in for 5 days. Invoice requested."
"Transport","Travel Limousines","","info@travel-limousines.com","Invoice Requested","Mercedes van 7 pax (price TBC)","Invoice requested. Billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","Eden Cab","office@eden-cab.com","office@eden-cab.com","Invoice Requested","€15700 / €14700 / €9700 / €85000 / €8500 / €47000 / €1500 / €1000","Quoted from €1000 — within budget. Invoice requested, billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","Transfer Nice","Autocars Baie Des Anges","autocars.baie.des.anges@wanadoo.fr","Invoice Requested","€1500 / €500","Quoted from €500 — within budget. Invoice requested, billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","Ruby Services","Ruby Services","info@ruby-services.com","Invoice Requested","€1200 / €120 / €185","Quoted from €120 — within budget. Invoice requested, billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","Luxu Chauffeur","TRAVEL LIMOUSINES - Info","info@travel-limousines.com","Invoice Requested","€1650 / €1500 / €500","Quoted from €500 — within budget. Invoice requested, billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","FranceBus","FRANCEBUS","info@francebus.com","Invoice Requested","€1500 / €500","Quoted from €500 — within budget. Invoice requested, billed to Amber Jacobs, 19 Chemin du Vivier, Grasse."
"Transport","Autocars Baie Des Anges","","","No Availability","","No availability for our dates."
"Transport","Flash Azur Voyages","","","No Availability","","No availability for our dates."
"Transport","Azur Limousines","","","Too Expensive","€95/hr + €25 meal supplement","Quoted hourly rate — €1,000 budget insufficient per their reply."
"Transport","Class E Driver","","","Too Expensive","","Said €1,000 for 5 days cannot be done."
"Transport","Wheels France","Jean-Noel AIMASSO","contact@wheelsfrance.com","Declined","€8,375 total","Way over budget. Politely declined — went with another provider."
"Dinner","La Môme Plage","Anaïs DAFRI","","Invoice Requested","","Invoice requested. Awaiting."
"Dinner","Plage Bijou","Amanda - Plage Bijou","amanda@plagebijou.com","Quote Requested","€89 / €160 / €80 / €2400 / €400","~€80/head — within budget. Quote requested for ~30 guests at €80/head."
"Dinner","Belles Rives","Lisbeth LABETOULLE","labetoulle@bellesrives.com","Quote Requested","€70 / €10000 / €80 / €2400 / €400","~€70/head — within budget. Quote requested for ~30 guests at €80/head."
"Dinner","Epi Beach","Epi Beach","reservation.epibeach@gmail.com","Quote Requested","€80 / €2400 / €400","~€80/head — within budget. Quote requested for ~30 guests at €80/head."
"Dinner","Miramar Plage","Coralie","events@miramar-plage.fr","No Availability","","Fully privatised June 17–29. Asked Coralie to send invoice if anything changes."
